,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
250,48135,2020,1889.7405857740587,956.0,151908500.0,23489600.0,1473.4769874476988,956
251,48135,2021,1725.8354978354978,231.0,35063200.0,5998400.0,1340.3766233766235,231
252,48139,2018,755.5276595744681,705.0,144944800.0,47540500.0,569.2113475177305,705
253,48139,2019,791.1073919107392,717.0,150512500.0,49590800.0,603.3096234309623,717
254,48139,2020,866.5935302390999,711.0,149640800.0,48563500.0,653.2123769338959,711
255,48139,2021,1003.5925925925926,162.0,36288800.0,12989900.0,765.8395061728395,162
256,48141,2018,937.9655722754218,4386.0,685043800.0,128264300.0,692.9420884632923,4386
257,48141,2019,945.9316738633478,3937.0,636982600.0,122633400.0,706.2438404876809,3937
258,48141,2020,968.7854524950662,3547.0,585905400.0,114786800.0,716.3890611784607,3547
259,48141,2021,972.8930669800235,851.0,136619300.0,22653600.0,715.0070505287897,851
260,48143,2018,974.6818181818181,88.0,14774600.0,5094800.0,735.9318181818181,88
261,48143,2019,979.9411764705883,102.0,16616700.0,5820400.0,736.8627450980392,102
262,48143,2020,1084.6043956043957,91.0,17413600.0,5490200.0,816.4615384615385,91
263,48143,2021,1280.0625,16.0,3443600.0,1100000.0,993.375,16
264,48145,2018,675.5,4.0,564000.0,160000.0,484.0,4
265,48145,2019,903.125,8.0,1357800.0,380000.0,657.625,8
266,48145,2020,1006.2857142857143,7.0,1192800.0,280000.0,779.5714285714286,7
267,48145,2021,1529.0,2.0,300000.0,0.0,1232.0,2
268,48147,2018,1218.6503067484662,163.0,24823800.0,5744300.0,938.0184049079754,163
269,48147,2019,1212.4131736526947,167.0,27217200.0,6521100.0,946.8682634730538,167
270,48147,2020,1258.69375,160.0,26768000.0,6197700.0,973.4875,160
271,48147,2021,1598.35,60.0,9194500.0,1825400.0,1244.1666666666667,60
272,48149,2018,731.4421965317919,346.0,48152100.0,14887800.0,598.7167630057803,346
273,48149,2019,767.7311475409836,305.0,46663300.0,14760600.0,613.072131147541,305
274,48149,2020,884.6824644549763,211.0,41406400.0,15309100.0,646.5639810426541,211
275,48149,2021,1114.764705882353,51.0,10235500.0,3910800.0,826.1176470588235,51
276,48153,2018,809.6666666666666,6.0,432500.0,120000.0,512.0,6
277,48153,2019,871.0,6.0,432500.0,120000.0,565.3333333333334,6
278,48153,2020,1504.0,2.0,164000.0,20000.0,1136.0,2
279,48153,2021,2040.0,1.0,116000.0,20000.0,1665.0,1
280,48155,2018,2336.0,2.0,603000.0,500000.0,1879.0,2
281,48155,2019,2487.5,2.0,603000.0,500000.0,2010.5,2
282,48155,2020,2665.0,2.0,603000.0,500000.0,2110.0,2
283,48157,2018,499.25950033803434,63776.0,14710707300.0,5881652800.0,375.39972957250444,63603
284,48157,2019,534.225930469124,67021.0,15635434200.0,6247397600.0,406.09915031115366,66848
285,48157,2020,568.2948094311548,70069.0,16430022900.0,6562219800.0,426.4373068559002,69896
286,48157,2021,662.4631458571577,9792.0,2275089800.0,896879900.0,501.8585092005406,9619
287,48159,2018,782.4074074074074,27.0,1316100.0,361900.0,496.1111111111111,27
288,48159,2019,845.875,24.0,1341000.0,348000.0,551.7083333333334,24
289,48159,2020,837.3,20.0,968000.0,278000.0,539.0,20
290,48159,2021,834.4285714285714,7.0,245000.0,70000.0,561.8571428571429,7
291,48161,2018,769.8780487804878,41.0,7701000.0,2782000.0,560.2926829268292,41
292,48161,2019,757.7272727272727,44.0,8332500.0,3026000.0,563.6363636363636,44
293,48161,2020,935.921052631579,38.0,6781800.0,2429600.0,711.7105263157895,38
294,48161,2021,712.1666666666666,12.0,2036000.0,802800.0,523.9166666666666,12
295,48163,2018,903.0,16.0,1628200.0,688800.0,642.5625,16
296,48163,2019,1039.4117647058824,17.0,1664700.0,690800.0,741.4117647058823,17
297,48163,2020,1043.8666666666666,15.0,1579800.0,688800.0,745.6666666666666,15
298,48163,2021,962.0,1.0,35000.0,10000.0,561.0,1
299,48165,2018,1497.5384615384614,13.0,1522500.0,259300.0,1148.3076923076924,13
300,48165,2019,1563.2,15.0,1843100.0,359900.0,1218.6,15
301,48165,2020,1929.4444444444443,9.0,1374100.0,233300.0,1532.5555555555557,9
302,48165,2021,2375.3333333333335,3.0,724700.0,72800.0,1829.3333333333333,3
303,48167,2018,1154.0681835664066,68622.0,14269832600.0,4898284100.0,901.1977200350764,65001
304,48167,2019,1183.6897170075652,76284.0,16158992700.0,5395585800.0,919.9202998038667,71380
305,48167,2020,1128.342467670604,75231.0,16180776400.0,5565023400.0,860.4353132172647,71452
306,48167,2021,1292.8506306705024,14746.0,3196346600.0,1020351800.0,985.7547392490964,13557
307,48171,2018,955.384236453202,203.0,42370100.0,13254300.0,708.5221674876848,203
308,48171,2019,1003.4306220095693,209.0,44012100.0,13877300.0,751.9808612440191,209
309,48171,2020,1047.4245283018868,212.0,45153200.0,13709100.0,772.2452830188679,212
310,48171,2021,994.9056603773585,53.0,12130700.0,3302800.0,713.4150943396227,53
311,48175,2018,794.0,62.0,10314100.0,2969100.0,546.758064516129,62
312,48175,2019,824.968253968254,63.0,12134600.0,3797000.0,582.3650793650794,63
313,48175,2020,812.6769230769231,65.0,11707800.0,3751800.0,571.8461538461538,65
314,48175,2021,1362.8666666666666,15.0,2431300.0,450000.0,1010.2,15
315,48177,2018,1441.1658767772512,211.0,29437700.0,8048800.0,1093.947867298578,211
316,48177,2019,1543.372340425532,188.0,25142500.0,6090300.0,1189.6063829787233,188
317,48177,2020,1475.1909547738694,199.0,29094600.0,7762000.0,1112.4824120603016,199
318,48177,2021,1442.8372093023256,43.0,7487500.0,1839600.0,1094.3953488372092,43
